product_id,name,brand,category,product_type,gender,sport,sport_sub,color,search_color,color_variants,badge,current_price,original_price,sale_price,discount,on_sale,is_outlet,is_orderable,sizes_available,num_sizes,base_material,product_fit,closure,surface,subtitle,description,usps,image_url,product_url,model_number,base_model,scraped_at
KI4763,ADIZERO EVO SL EXO Shoes,Performance,Shoes,Athletic & Sneakers,M,Running,adizero,Cloud White / Core Black / Iron Metallic,White,3,,150,150,,,False,False,True,6.5 | 7 | 7.5 | 8 | 8.5 | 9 | 9.5 | 10 | 10.5 | 11 | 11.5 | 12 | 12.5 | 13 | 14 | 15 | 16,17,Textile Upper,Regular,,"Treadmill, Road",Running shoes with LightstrikePro cushioning for dynamic movements.,"When it comes to pushing boundaries, these lightweight sneakers are designed to keep you out in front. Engineered for a responsive running experience, they're crafted with performance and comfort in mind.  Light makes fast. adidas LightstrikePro provides super-light cushioning, plus energy return for next-level speed. This theme carries through to the racing-inspired design, with oversized 3-Stripes and signature adidas branding.  With a textile upper and laces, you can adjust the fit for stability and comfort, while the sculpted rubber outsole delivers grip, style and confidence. On daily runs, casual walks, or race days, these shoes will keep you looking and feeling your best.",Regular fit | Laces | Textile upper | Textile sockliner | LIGHTSTRIKEPRO midsole | Rubber outsole | Imported,"https://assets.adidas.com/images/w_600,f_auto,q_auto/c08d879a860f4599ad232fc899a69f36_9366/ADIZERO_EVO_SL_EXO_Shoes_White_KI4763_HM1.jpg",https://www.adidas.com/us/adizero-evo-sl-exo-shoes/KI4763.html,OSE14,OSE14,2026-03-16 16:30:07
KI4764,ADIZERO EVO SL EXO Shoes,Performance,Shoes,Athletic & Sneakers,M,Running,adizero,Core Black / Cloud White / Iron Metallic,Black,3,,150,150,,,False,False,True,6.5 | 7 | 7.5 | 8 | 8.5 | 9 | 9.5 | 10 | 10.5 | 11 | 11.5 | 12 | 12.5 | 13 | 14 | 15 | 16,17,Textile Upper,Regular,,"Treadmill, Road",Running shoes with LightstrikePro cushioning for dynamic movements.,"When it comes to pushing boundaries, these lightweight sneakers are designed to keep you out in front. Engineered for a responsive running experience, they're crafted with performance and comfort in mind.  Light makes fast. adidas LightstrikePro provides super-light cushioning, plus energy return for next-level speed. This theme carries through to the racing-inspired design, with oversized 3-Stripes and signature adidas branding.  With a textile upper and laces, you can adjust the fit for stability and comfort, while the sculpted rubber outsole delivers grip, style and confidence. On daily runs, casual walks, or race days, these shoes will keep you looking and feeling your best.",Regular fit | Laces | Textile upper | Textile sockliner | LIGHTSTRIKEPRO midsole | Rubber outsole | Imported,"https://assets.adidas.com/images/w_600,f_auto,q_auto/6dc0c0b8f405471bac8b18615543e908_9366/ADIZERO_EVO_SL_EXO_Shoes_Black_KI4764_HM1.jpg",https://www.adidas.com/us/adizero-evo-sl-exo-shoes/KI4764.html,OSE14,OSE14,2026-03-16 16:30:07
BD7633,Handball Spezial Shoes,Originals,Shoes,Athletic & Sneakers,U,Lifestyle,"70s, Spezial",Collegiate Navy / Clear Sky / Gum,Blue,56,,110,110,,,False,False,True,M 4 / W 5 | M 4.5 / W 5.5 | M 5 / W 6 | M 5.5 / W 6.5 | M 6 / W 7 | M 6.5 / W 7.5 | M 7 / W 8 | M 7.5 / W 8.5 | M 8 / W 9 | M 8.5 / W 9.5 | M 9 / W 10 | M 9.5 / W 10.5 | M 10 / W 11 | M 10.5 / W 11.5 | M 11 / W 12 | M 11.5 / W 12.5 | M 12 / W 13 | M 12.5 / W 13.5 | M 13 / W 14 | M 13.5 / W 14.5 | M 14 / W 15,21,"Leather Upper, Suede",Regular Fit,Laces,Street,"A style embraced by football fans and fashionistas, done in nubuck suede.","First introduced in 1979 for elite handball players, these shoes are now beloved for their classic style. This version is built with a cow suede upper for a supple feel. A soft gum rubber outsole keeps them true to their vintage roots.",Regular fit | Lace closure | Cow suede upper with synthetic details | Gum rubber outsole | Enjoy the comfort and performance of OrthoLite® sockliner | Soft feel | Imported,"https://assets.adidas.com/images/w_600,f_auto,q_auto/c7e877a1841c47559465a96d010f344a_9366/Handball_Spezial_Shoes_Blue_BD7633_00_plp_standard.jpg",https://www.adidas.com/us/handball-spezial-shoes/BD7633.html,SPZLU2212,BTP23,2026-03-16 16:30:07
KJ8969,CLIMACOOL LACED SHOES,Sportswear,Shoes,Athletic & Sneakers,U,Lifestyle,Climacool Shoes,Off White / Off White / Silver Metallic,White,3,,160,160,,,False,False,True,M 4.5 / W 5.5 | M 5.5 / W 6.5 | M 6.5 / W 7.5 | M 7.5 / W 8.5 | M 8.5 / W 9.5 | M 9.5 / W 10.5 | M 10.5 / W 11.5 | M 11.5 / W 12.5 | M 12.5 / W 13.5 | M 13.5 / W 14.5 | M 14.5 / W 15.5,11,Synthetic Upper,Regular Fit,Laces,Street,Lightweight shoes with Climacool technology to keep your feet cool and dry.,"The Climacool Laced Shoes are where innovation meets style. Crafted for those who appreciate an elegant, street-style design that doesn't compromise on performance.  This pair features Climacool technology. Cool. Dry. Ready. Climacool wicks and disperses sweat for a cool, dry, and distraction-free performance. Breathable materials and open constructions keep your feet comfortable. The synthetic upper and lining add to the comfort, while the subtle adidas branding provides a classic appeal.  These shoes, with their airflow movement pattern and foot-hugging sensation, offer a feeling of a slide. With a regular fit and lace closure, this pair is a versatile choice for everyday wear.  From attending a casual meet-up to exploring the city, redefine your fashion sense with these adidas shoes.",Regular fit | Laces | Synthetic upper | Synthetic lining | Synthetic outsole | CLIMACOOL technology | Imported,"https://assets.adidas.com/images/w_600,f_auto,q_auto/20bf10afb6fc42a5bc68f2dbaa50c043_9366/CLIMACOOL_LACED_SHOES_White_KJ8969_00_plp_standard.jpg",https://www.adidas.com/us/climacool-laced-shoes/KJ8969.html,OOP92,OOP92,2026-03-16 16:30:07
KJ8967,CLIMACOOL LACED SHOES,Sportswear,Shoes,Athletic & Sneakers,U,Lifestyle,Climacool Shoes,Grey Four / Chalk White / Carbon,Grey,3,,160,160,,,False,False,True,M 4.5 / W 5.5 | M 5.5 / W 6.5 | M 6.5 / W 7.5 | M 7.5 / W 8.5 | M 8.5 / W 9.5 | M 9.5 / W 10.5 | M 10.5 / W 11.5 | M 11.5 / W 12.5 | M 12.5 / W 13.5 | M 13.5 / W 14.5 | M 14.5 / W 15.5,11,Synthetic Upper,Regular Fit,Laces,Street,"Shoes with Climacool technology for cool, dry comfort.","The Climacool Laced Shoes are designed to help keep you cool and comfortable. With a sleek design, these shoes adapt to your unique body shape and gait to offer a personalized fit.   Their innovative design combines upper and midsole cushioning, while Climacool technology wicks and disperses sweat for a cool, dry, and distraction-free performance.   Crafted with a synthetic upper and lining, these shoes are built for durability and style. The lace closure allows for a secure fit, while the regular fit provides comfort with every step.   adidas branding on the tongue and lateral side adds a touch of iconic style, making these shoes a must-have for any streetwear enthusiast, whether you're hitting the streets or exploring new paths.",Regular fit | Laces | Synthetic upper | Synthetic lining | Synthetic outsole | CLIMACOOL technology | Imported,"https://assets.adidas.com/images/w_600,f_auto,q_auto/58a05d31101e496280cacb134837386b_9366/CLIMACOOL_LACED_SHOES_Grey_KJ8967_00_plp_standard.jpg",https://www.adidas.com/us/climacool-laced-shoes/KJ8967.html,OOP92,OOP92,2026-03-16 16:30:07
KI2075,PURECHILL SLIDES,Sportswear,Shoes,Slides,U,"Swim, Yoga, Lifestyle",Purechill,Cloud White / Gold Metallic / Gold Metallic,White,5,,55,55,,,False,False,True,3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18,16,Synthetic Upper,Regular Fit,Hook & Loop,Street,Slides with Climacool technology to keep your feet comfortable.,"Slip into the adidas Purechill Slides and experience the fusion of modern style and functionality. Designed with a breathable open mesh and a molded upper cage, they are all about ventilation and support.  These slides feature our Climacool technology, which includes breathable materials and open constructions to keep your feet dry and comfortable. Crafted with a high-cushioned EVA midsole, they offer comfort with every step.  The full rubber outsole provides durability and grip, combining practicality with a bold design. The 3-Stripes branding and Climacool heel logo add a touch of classic adidas flair, making them a staple for trendsetters.",Regular fit | Synthetic upper | Synthetic lining | Rubber outsole | CLIMACOOL technology | Imported,"https://assets.adidas.com/images/w_600,f_auto,q_auto/3e09385d06e54c49b8199ba34cb18dcc_9366/PURECHILL_SLIDES_White_KI2075_00_plp_standard.jpg",https://www.adidas.com/us/purechill-slides/KI2075.html,OTM15,OTM15,2026-03-16 16:30:07
KI0075,Purechill,Sportswear,Shoes,Athletic & Sneakers,U,"Swim, Yoga, Lifestyle",Purechill,Better Scarlet / Cloud White / Core Black,Red,6,,75,75,,,False,False,True,M 3 / W 4 | M 4 / W 5 | M 5 / W 6 | M 6 / W 7 | M 7 / W 8 | M 8 / W 9 | M 9 / W 10 | M 10 / W 11 | M 11 / W 12 | M 12 / W 13 | M 13 / W 14 | M 14 / W 15 | M 15 / W 16 | M 16 / W 17 | M 17 / W 18,15,Synthetic Upper,Regular Fit,Slip On,Street,Soft comfort meets strong style in iconic post-workout runner.,"The Purechill Runner offer a fusion of style and performance for casual street adventures.  Cool. Dry. Ready. Breathable materials and open constructions keep your feet dry and comfortable. A high-cushioned EVA midsole brings comfort to every step. And the breathable open mesh and molded upper cage provide 360-degree ventilation, helping your feet feel fresh.   Complete with a full-length rubber outsole, these slides deliver dependable traction on various surfaces.   Whether you're exploring new cityscapes or relaxing with friends, these slides are your go-to for comfort and flair.",Regular fit | Slip on | Synthetic upper | Synthetic sockliner | Rubber and synthetic outsole | Imported,"https://assets.adidas.com/images/w_600,f_auto,q_auto/b074fd83de274d7f964bb95646b5e970_9366/Purechill_Red_KI0075_00_plp_standard.jpg",https://www.adidas.com/us/purechill/KI0075.html,OSF28,OSF28,2026-03-16 16:30:07
IH8659,Superstar II Shoes,Originals,Shoes,Athletic & Sneakers,U,Lifestyle,Superstar,Cloud White / Core Black / Cloud White,White,30,,100,100,,,False,False,True,M 4 / W 5 | M 4.5 / W 5.5 | M 5 / W 6 | M 5.5 / W 6.5 | M 6 / W 7 | M 6.5 / W 7.5 | M 7 / W 8 | M 7.5 / W 8.5 | M 8 / W 9 | M 8.5 / W 9.5 | M 9 / W 10 | M 9.5 / W 10.5 | M 10 / W 11 | M 10.5 / W 11.5 | M 11 / W 12 | M 11.5 / W 12.5 | M 12 / W 13 | M 12.5 / W 13.5 | M 13 / W 14 | M 13.5 / W 14.5 | M 14 / W 15 | M 14.5 / W 15.5 | M 15 / W 16 | M 16 / W 17 | M 17 / W 18 | M 18 / W 19 | M 19 / W 20,27,Leather Upper,Regular Fit,Laces,Street,The beloved adidas Superstar Shoe with a classic rounded shell toe.,"The iconic adidas Superstar shoes are back. Step into 50 years of sport and street style with these low top sneakers. A smooth leather upper and rubber shell toe evoke memories of basketball courts and city streets. The padded tongue and collar add comfort for all-day wear while the textured rubber outsole provides grip. Whether you're shooting hoops or hitting the town, the adidas Superstar shoes have the versatility and retro appeal to take you there in classic style.",Regular fit | Lace closure | Leather upper | Padded tongue | Textile lining | Rubber outsole | Imported,"https://assets.adidas.com/images/w_600,f_auto,q_auto/4f8937ad7ea843cf98a83415e1124613_9366/Superstar_II_Shoes_White_IH8659_00_plp_standard.jpg",https://www.adidas.com/us/superstar-ii-shoes/IH8659.html,OPW95,NJG92,2026-03-16 16:30:07
IH9268,Superstar II shoes,Originals,Shoes,Athletic & Sneakers,U,Lifestyle,Superstar,Core Black / Core White / Core Black,Black,30,,110,110,,,False,False,True,M 4 / W 5 | M 4.5 / W 5.5 | M 5 / W 6 | M 5.5 / W 6.5 | M 6 / W 7 | M 6.5 / W 7.5 | M 7 / W 8 | M 7.5 / W 8.5 | M 8 / W 9 | M 8.5 / W 9.5 | M 9 / W 10 | M 9.5 / W 10.5 | M 10 / W 11 | M 10.5 / W 11.5 | M 11 / W 12 | M 11.5 / W 12.5 | M 12 / W 13 | M 12.5 / W 13.5 | M 13 / W 14 | M 13.5 / W 14.5 | M 14 / W 15,21,Leather Upper,Regular Fit,Laces,Street,Modern reimagining of classic shoes for a contemporary design.,"The Superstar II Shoes update a classic design to create a modern reimagining for today's fashions. Featuring the same pattern as the original soccer boots they're based on, the stylish colors deliver an iconic look.  A regular fit and lace closure create a secure feel, while the textile lining maintains a smooth interior. A rubber outsole provides traction for consistent footing, while the shell toe strengthens the front of the shoe.  Branding identifies the shoes within the adidas Originals range. Their clean profile delivers a recognizable and versatile design, suited for casual wear and varied styling.",Regular fit | Lace closure | Leather and rubber upper | Textile lining | Rubber outsole | Imported,"https://assets.adidas.com/images/w_600,f_auto,q_auto/4536b9605db9405e8357492df2b40b30_9366/Superstar_II_shoes_Black_IH9268_00_plp_standard.jpg",https://www.adidas.com/us/superstar-ii-shoes/IH9268.html,OPW95,ONJ94,2026-03-16 16:30:07
KI2686,Predator Elite Fold-Over Tongue Firm Ground Soccer Cleats,Performance,Shoes,Cleats,U,Soccer,Predator,Core Black / Core Black / Equipment Green,Black,0,,290,290,,,False,False,True,M 4 / W 5 | M 4.5 / W 5.5 | M 5 / W 6 | M 5.5 / W 6.5 | M 6 / W 7 | M 6.5 / W 7.5 | M 7 / W 8 | M 7.5 / W 8.5 | M 8 / W 9 | M 8.5 / W 9.5 | M 9 / W 10 | M 9.5 / W 10.5 | M 10 / W 11 | M 10.5 / W 11.5 | M 11 / W 12 | M 11.5 / W 12.5 | M 12 / W 13 | M 12.5 / W 13.5 | M 13 / W 14 | M 13.5 / W 14.5,20,Textile Upper,Regular Fit,Laces,Firm Ground,Performance soccer cleats with Primeknit for a secure and comfortable fit.,"Predator Elite Fold-Over Tongue Firm Ground Soccer Cleats are designed to deliver a combination of performance, comfort and style on the field.  The Primeknit upper wraps your foot in adaptive support, ensuring a snug fit that moves with you. The fold-over tongue adds a classic touch, with the outsole offering rotational agility on firm ground.  adidas has engineered these cleats to offer comfort and stability throughout a game. It's performance and comfort that allows you to focus on making that game-changing pass or scoring the crucial goal.",Regular fit | Laces | Synthetic and textile upper | Textile sockliner | Synthetic outsole | PRIMEKNIT technology | Imported,"https://assets.adidas.com/images/w_600,f_auto,q_auto/7c3ee95720cc42b7ad9dc0b8c5f9ce39_9366/Predator_Elite_Fold-Over_Tongue_Firm_Ground_Soccer_Cleats_Black_KI2686_HM1.jpg",https://www.adidas.com/us/predator-elite-fold-over-tongue-firm-ground-soccer-cleats/KI2686.html,OTN37,OTN37,2026-03-16 16:30:07
